No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
31,CALF Turnkey,Cavan,"Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,Cluid Housing ,,,,,,Q4-2016
32,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 1)",4,Túath Housing Association Ltd,,,,,,Q2-2018
33,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 2)",5,Túath Housing Association Ltd,,,,,,Q3-2018
34,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 3)",2,Túath Housing Association Ltd,,,,,Q1-2017,
35,SHIP CONSTRUCTION,Cavan,"Rosehill, Mullagh (Phase 6)",8,*N/A,,,,,Q1-2018,
36,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 2),4,*N/A,,,,,,Q1-2018
37,SHIP CONSTRUCTION,Cavan,"Woodlands, Ballyhaise",8,*N/A,,,,,Q4-2017,
38,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 1),2,*N/A,,,,,,Q2-2017
39,SHIP CONSTRUCTION,Cavan,"Clones Road, Butlersbridge",2,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
40,SHIP CONSTRUCTION,Cavan,"Corstruce, Ballinagh",4,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
41,SHIP CONSTRUCTION,Cavan,"Main Street, Mullagh",19,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
42,SHIP CONSTRUCTION,Cavan,"Holborn Hill, Belturbet",6,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
43,SHIP CONSTRUCTION,Cavan,Elm Grove,13,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
44,CALF Construction,Clare,"Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,Co-operative Housing Ireland,,,,Q1-2017,,
45,CALF Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,Cluid Housing ,,,,,,Q2-2018
46,CALF Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",19,Cluid Housing ,,,,,Q1-2018,
47,CALF Turnkey,Clare,"Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",5,Co-operative Housing Ireland,,,,,Q2-2018,
48,CALF Turnkey,Clare,"Lios Anama, Sixmilebridge, Clare (Phase 1)",28,Co-operative Housing Ireland,,,,,,Q4-2017
49,CALF Turnkey,Clare,"Tullyvarraga, Shannon, Co. Clare (Phase 1)*",47,Co-operative Housing Ireland,,,,,Q1-2018,
50,SHIP CONSTRUCTION TURNKEY,Clare,"River View, School Road, Corofin",2,*N/A,,,,,Q4-2017,
51,SHIP CONSTRUCTION,Clare,"Roslevan, Ennis",8,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
52,SHIP CONSTRUCTION,Clare,Feakle,13,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
53,SHIP CONSTRUCTION,Clare,"Glor Srutha, Knockbrack Lower, Clonlara",9,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
54,SHIP CONSTRUCTION,Clare,"Seaview Park, Quilty",18,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
55,SHIP CONSTRUCTION,Clare,"Tullyglass, Shannon",21,*N/A,,"Stage 2 approved Q2-2016, full design/tender being prepared.",,,,
56,SHIP CONSTRUCTION,Clare,"Ashline, Kilrush Road, Ennis",40,*N/A,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
57,CAS CONSTRUCTION,Clare,"Cahercalla, Ennis (Phase 2)",14,Cuan an Chlair Ltd,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
58,CAS CONSTRUCTION,Clare,"Laurel Lodge, Clare Road, Ennis",3,Society of Saint Vincent de Paul,,,,,,Q4-2016
59,CAS CONSTRUCTION,Clare,"Haggard View, Clarecastle (Phase 2)",2,Anvers Housing Association Ltd,,,,,,Q2-2018
60,CAS CONSTRUCTION,Clare,"Haggard View, Clarecastle (Phase 1)",2,Anvers Housing Association Ltd,,,,,,Q1-2018
61,CAS CONSTRUCTION,Clare,Monaskeha Heights,2,Newgrove Housing Association Ltd,"Stage 1 approved Q4-2017, outline design and costs are being prepared.",,,,,
62,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Clare,Shannon East,50,*N/A,,,Q1-2018,,,
63,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"The Miles, Clonakilty",54,*N/A,,,Q1-2018,,,
64,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"Poundhill, Skibbereen",50,*N/A,,,Q1-2018,,,
65,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork County,"Oakwood, Macroom",50,*N/A,,,Q1-2018,,,
66,CALF Construction,Cork City,"124 Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,Galtan Ltd,,,,,,Q1-2018
67,CALF Construction,Cork City,"124 Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,Galtan Ltd,,,,,Q1-2017,
68,CALF Construction,Cork City,"184 Lower Glanmire Road, Cork City (Phase 1)",8,Galtan Ltd,,,,Q3-2018,,
69,CALF Construction,Cork City,"Mile Stream, Shanakiel, Cork City  (Phase 1)",50,Co-operative Housing Ireland,,,,Q4-2017,,
70,CALF Turnkey,Cork City,"11 North Abbey Street, Cork City  (Phase 1)",6,Respond,,,,Q3-2018,,
71,CALF Turnkey,Cork City,"Millerd Street, Cork (Phase 1)",25,Respond,,,,Q3-2018,,
72,CALF Turnkey,Cork City,"Popes Road, Blackpool, Cork City (Phase 1)",7,Cluid Housing ,,,,Q4-2016,,
73,CALF Turnkey,Cork City,"Redforge Road, Blackpool, Cork City (Phase 1)*",80,Respond,,,,Q3-2018,,
74,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 1)",6,Túath Housing Association Ltd,,,,,Q1-2018,
75,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 2)",9,Túath Housing Association Ltd,,,,,Q1-2018,
76,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 3)",9,Túath Housing Association Ltd,,,,,Q1-2018,
77,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 4)",9,Túath Housing Association Ltd,,,,,Q1-2018,
78,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 5)",9,Túath Housing Association Ltd,,,,,Q1-2018,
79,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 6)",10,Túath Housing Association Ltd,,,,,Q1-2018,
80,SHIP CONSTRUCTION TURNKEY,Cork City,Arus Mhuire,30,*N/A,,,,,Q4-2017,
81,SHIP CONSTRUCTION TURNKEY,Cork City,1-4 Marble Lane,4,*N/A,,,,,,Q4-2017
82,SHIP CONSTRUCTION TURNKEY,Cork City,Barack Street,32,*N/A,,,,"Stage 4 approved Q1-2018, the scheme is fully approved.",,
83,SHIP CONSTRUCTION TURNKEY,Cork City,FaranFerris,5,*N/A,,,,,Q2-2018,
84,SHIP CONSTRUCTION TURNKEY,Cork City,High Street,9,*N/A,,,,,Q2-2018,
85,SHIP CONSTRUCTION TURNKEY,Cork City,Tramore Road,4,*N/A,,,,,Q1-2018,
86,SHIP CONSTRUCTION TURNKEY,Cork City,Whites Street,43,*N/A,,,,,Q3-2018,
87,SHIP CONSTRUCTION TURNKEY,Cork City,Woods Street,16,*N/A,,,,"Stage 4 approved Q1-2018, the scheme is fully approved.",,
88,SHIP CONSTRUCTION TURNKEY,Cork City,Church Road,43,*N/A,,,,,,Q3-2018
89,SHIP CONSTRUCTION TURNKEY,Cork City,"Sheridan Park, Tramore Road",28,*N/A,,,,,,Q4-2016
90,SHIP CONSTRUCTION TURNKEY,Cork City,"1-5, Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,,Q3-2018
91,SHIP CONSTRUCTION TURNKEY,Cork City,Corcorans Quay,3,*N/A,,,,,Q2-2018,
92,SHIP CONSTRUCTION TURNKEY,Cork City,Blarney Street,25,*N/A,,,,,Q2-2018,
93,SHIP CONSTRUCTION TURNKEY,Cork City,"37-39 Dublin Street, Blackpool, Cork",5,*N/A,,,,,,Q2-2018
94,SHIP CONSTRUCTION TURNKEY,Cork City,"6-10, Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,Q2-2018,
95,SHIP CONSTRUCTION TURNKEY,Cork City,"2 Deanrock Cottages, Togher",4,*N/A,,,,,Q2-2018,
96,SHIP CONSTRUCTION TURNKEY,Cork City,"258 & 259 Blarney Street, Cork",2,*N/A,,,,,,Q1-2018
97,SHIP CONSTRUCTION TURNKEY,Cork City,"1 & 2 The Groves, Skehard Road, Cork",2,*N/A,,,,,,Q2-2018
98,SHIP CONSTRUCTION TURNKEY,Cork City,"Ballinure Road, Cork City",5,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
99,SHIP CONSTRUCTION TURNKEY,Cork City,"Moss Lane, Riverway, Cork",5,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
100,SHIP CONSTRUCTION TURNKEY,Cork City,"Wycherley Place, Glasheen, Cork",4,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
101,SHIP CONSTRUCTION RAPID,Cork City,"Errigal Heights, The Glen, Cork City",20,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
102,SHIP CONSTRUCTION,Cork City,"The Meadows, Knocknacullen",1,*N/A,,,,,,Q3-2016
103,SHIP CONSTRUCTION,Cork City,Boyces Street,51,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
104,SHIP CONSTRUCTION,Cork City,Shandon Street/John Philpott Curran Street,9,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
105,SHIP CONSTRUCTION,Cork City,St. Johns Well,6,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
106,SHIP CONSTRUCTION,Cork City,Churchfield Place East,3,*N/A,,,,,Q2-2018,
107,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",65,*N/A,,,,,Q1-2018,
108,SHIP CONSTRUCTION,Cork City,Gerald Griffin Street,41,*N/A,,,,,Q3-2017,
109,SHIP CONSTRUCTION,Cork City,Cappanoole,2,*N/A,,,,,,Q4-2016
110,SHIP CONSTRUCTION,Cork City,Bramble Cottages,5,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
111,SHIP CONSTRUCTION,Cork City,"Glenamoy Lawn, Mayfield, Cork",2,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
112,REGENERATION,Cork City,Phase 1 B Knocknaheeny,29,*N/A,,,,,,Q4-2017
113,REGENERATION,Cork City,Phase 2 A Knocknaheeny,47,*N/A,,,,,Q2-2018,
114,REGENERATION,Cork City,Phase 1 C Knocknaheeny,41,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
115,REGENERATION,Cork City,Phase 2 B Knocknaheeny,38,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
116,REGENERATION,Cork City,Phase 2C Knocknaheeny,24,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
117,CAS CONSTRUCTION,Cork City,"Edel House, Grattan Street",33,Good Shepherd Services Ltd,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
118,CAS CONSTRUCTION,Cork City,"Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,Respond,"Stage 1 approved Q2-2015, outline design and costs are being prepared.",,,,,
119,CAS CONSTRUCTION,Cork City,Thomas Davis Street (Phase 1),28,Respond,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
120,CAS CONSTRUCTION,Cork City,"Ceanncora Lawn, Ballinlough",1,Cork Mental Health Voluntary Housing Association Ltd,,,,,,Q3-2018
121,CAS CONSTRUCTION,Cork City,"St. Joachim & Anne's, Anglesea Street",8,Simon Community : Cork Simon,,"Stage 2 approved Q4-2017, full design/tender being prepared.",,,,
122,CAS CONSTRUCTION,Cork City,"27-29 Dublin Street, Blackpool",10,Respond,,,,,,Q3-2018
123,CALF Construction,Cork County,"Duntahane, Fermoy, Co. Cork (Phase 1)",46,Respond,,,,Q2-2018,,
124,CALF Construction,Cork County,Firgrove Harrisons lane (Phase 1),6,Co-operative Housing Ireland,,,,,,Q4-2017
125,CALF Construction,Cork County,"Post Tender - Radharc An tSaile, Cappagh, Ballynacubby, Kinsale, Co Cork (Phase 1)",40,Cluid Housing ,,,,Q3-2018,,
126,CALF Turnkey,Cork County,"Beach Road, Passage West, Co. Cork (Phase 1)",3,Cluid Housing ,,,,,,Q4-2017
127,CALF Turnkey,Cork County,"College Manor, Cobh (Phase 1)",10,Túath Housing Association Ltd,,,,,,Q4-2016
128,CALF Turnkey,Cork County,"Lackaduff, Codrum, Macroom, Co Cork  (Phase 1)",5,Túath Housing Association Ltd,,,,Q1-2018,,
129,CALF Turnkey,Cork County,"Lackaduff, Codrum, Macroom, Co. Cork - Phase 2 (Phase 1)",2,Túath Housing Association Ltd,,,,Q1-2018,,
130,CALF Turnkey,Cork County,"Market Green, Knockgriffin, Midleton, Co. Cork (Phase 1)",42,Respond,,,,Q3-2018,,
131,CALF Turnkey,Cork County,"Mullavale, Castletownroche, Co. Cork (Phase 1)",6,Respond,,,,,Q2-2018,
132,CALF Turnkey,Cork County,"Tanners Field, Bandon, Co Cork  (Phase 1)*",6,Túath Housing Association Ltd,,,,,Q4-2016,
133,CALF Turnkey,Cork County,"Tanners Field, Bandon, Co Cork  (Phase 2)*",5,Túath Housing Association Ltd,,,,,Q4-2016,
134,CALF Turnkey,Cork County,"Ticknock, Cobh, Cork (Phase 1)",8,Respond,,,,,Q1-2017,
135,CALF Turnkey,Cork County,"Weston, Carrigaline, Co. Cork (Phase 1)",7,Respond,,,,,,Q2-2018
136,SHIP CONSTRUCTION TURNKEY,Cork County,"Church Road/Station Road, Carrigtwohill (1)",18,*N/A,,,,,,Q2-2018
137,SHIP CONSTRUCTION TURNKEY,Cork County,"Inis Alainn & Castleoaks, Bandon",11,*N/A,,,,,,Q4-2017
138,SHIP CONSTRUCTION TURNKEY,Cork County,"Gleann Tuairigh, Youghal",3,*N/A,,,,,Q4-2017,
139,SHIP CONSTRUCTION TURNKEY,Cork County,"Millview Road, Kanturk",25,*N/A,,,,,Q3-2018,
140,SHIP CONSTRUCTION TURNKEY,Cork County,"Clondulane, Fermoy",2,*N/A,,,,,,Q4-2017
141,SHIP CONSTRUCTION TURNKEY,Cork County,"College Wood, Cobh",31,*N/A,,,,,,Q4-2017
142,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 3)",12,*N/A,,,,,,Q4-2017
143,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",52,*N/A,,,,,Q4-2017,
144,SHIP CONSTRUCTION TURNKEY,Cork County,CulAird Carraigtwohill,29,*N/A,,,,,,Q4-2017
145,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 1)",12,*N/A,,,,,,Q1-2017
146,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 2)",16,*N/A,,,,,,Q1-2017
147,SHIP CONSTRUCTION TURNKEY,Cork County,"Claragh Road, Millstreet",6,*N/A,,,,,Q1-2018,
148,SHIP CONSTRUCTION TURNKEY,Cork County,"St. Mary?s Road, Dunmanway",20,*N/A,,,,,Q3-2018,
149,SHIP CONSTRUCTION TURNKEY,Cork County,"Downeen Cross, Rosscarbery",7,*N/A,,,,,Q1-2018,
150,SHIP CONSTRUCTION TURNKEY,Cork County,"Model Village, Dripsey",6,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
151,SHIP CONSTRUCTION TURNKEY,Cork County,"Glanworth, Fermoy",14,*N/A,,,,"Stage 4 approved Q1-2018, the scheme is fully approved.",,
152,SHIP CONSTRUCTION TURNKEY,Cork County,"Quartertown, Mallow",6,*N/A,,,,"Stage 4 approved Q1-2018, the scheme is fully approved.",,
153,SHIP CONSTRUCTION TURNKEY,Cork County,"Beacon Point, Baltimore",6,*N/A,,,,,Q1-2018,
154,SHIP CONSTRUCTION TURNKEY,Cork County,"Corrin View, Fermoy",6,*N/A,,,,"Stage 4 approved Q4-2017, the scheme is fully approved.",,
155,SHIP CONSTRUCTION TURNKEY,Cork County,"Chapel Court, Skibbereen",2,*N/A,,,,,Q1-2018,
156,SHIP CONSTRUCTION TURNKEY,Cork County,"Chapel Court, Skibbereen",2,*N/A,,,,,,Q3-2018
157,SHIP CONSTRUCTION TURNKEY,Cork County,"Cul Na Smear, Bandon",14,*N/A,,,,,Q2-2017,
158,SHIP CONSTRUCTION TURNKEY,Cork County,"Glen Dara,Ard Cashel, watergrasshill",6,*N/A,,,,,Q1-2018,
159,SHIP CONSTRUCTION TURNKEY,Cork County,"Clarendon Brooks, Carrs Hill, Douglas Phase 1",12,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
160,SHIP CONSTRUCTION TURNKEY,Cork County,"Sweetfields, Youghal",35,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
161,SHIP CONSTRUCTION TURNKEY,Cork County,Lismire Co. Cork,4,*N/A,,,,,Q3-2018,
162,SHIP CONSTRUCTION TURNKEY,Cork County,"Rylane, Mont Rivers, Co. Cork.",3,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
163,SHIP CONSTRUCTION TURNKEY,Cork County,"Claredon Brooks, Carrs Hill, Douglas Phase 2",33,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
164,SHIP CONSTRUCTION TURNKEY,Cork County,"Seafield, Bantry, ",3,*N/A,,,,,Q3-2018,
165,SHIP CONSTRUCTION TURNKEY,Cork County,"Eyeries, Castletownbere",6,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
166,SHIP CONSTRUCTION TURNKEY,Cork County,"Parklands, Youghal",19,*N/A,,,,,Q3-2018,
167,SHIP CONSTRUCTION TURNKEY,Cork County,"Oliver Plunkett Place, Doneraile",6,*N/A,,,,,Q3-2018,
168,SHIP CONSTRUCTION TURNKEY,Cork County,"Chapel Court, Skibbereen, (phase 2)",2,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
169,SHIP CONSTRUCTION TURNKEY,Cork County,"Tir Cluain, Midleton (Phase 1)",8,*N/A,,,,,Q3-2018,
170,SHIP CONSTRUCTION TURNKEY,Cork County,"College Mews, Cobh",6,*N/A,,,,,Q3-2018,
171,SHIP CONSTRUCTION TURNKEY,Cork County,"Milleenacola, Bantry",51,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
172,SHIP CONSTRUCTION TURNKEY,Cork County,"Rathcormac, Co. Cork",8,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
173,SHIP CONSTRUCTION TURNKEY,Cork County,"Fairgreen, Mallow, Co. Cork",12,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
174,SHIP CONSTRUCTION TURNKEY,Cork County,"Tir Cluain, Midelton (Phase 2)",14,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
175,SHIP CONSTRUCTION TURNKEY,Cork County,"Church Road/Station Road, Carrigtwohill (2)",7,*N/A,,,,,,Q3-2018
176,SHIP CONSTRUCTION RAPID,Cork County,"Abbeywood, Midleton",70,*N/A,,"Stage 2 approved Q1-2018, full design/tender being prepared.",,,,
177,SHIP CONSTRUCTION RAPID,Cork County,"Station Road, Blarney",18,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
178,SHIP CONSTRUCTION RAPID,Cork County,"Bluepool, Kanturk",12,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
179,SHIP CONSTRUCTION,Cork County,"Ard Na Greine, Cortmacsherry",15,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
180,SHIP CONSTRUCTION,Cork County,"Tower View/C£irt na Sil¡n¡, Cloyne, East Cork",9,*N/A,,,,,Q3-2018,
181,SHIP CONSTRUCTION,Cork County,"Beechgrove, Clonakilty",57,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
182,SHIP CONSTRUCTION,Cork County,"Castletreasure Grove, Douglas",1,*N/A,"Stage 1 approved Q3-2016, outline design and costs are being prepared.",,,,,
183,SHIP CONSTRUCTION,Cork County,"Poulavone, Ballincollig",57,*N/A,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
184,SHIP CONSTRUCTION,Cork County,"Newtown, Bantry",1,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
185,SHIP CONSTRUCTION,Cork County,"Fairfield, Masseytown, Macroom",7,*N/A,,,,,Q4-2017,
186,SHIP CONSTRUCTION,Cork County,"12 & 14 Droum, Castletownbere",2,*N/A,,,,,Q2-2018,
187,SHIP CONSTRUCTION,Cork County,"Kilnagleary, Carrigaline (Phase 4)",15,*N/A,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
188,SHIP CONSTRUCTION,Cork County,"Oliver Plunkett Hill, Fermoy",10,*N/A,,,,,,Q2-2017
189,SHIP CONSTRUCTION,Cork County,"Townsend Street, Skibbereen",6,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
190,SHIP CONSTRUCTION,Cork County,"Forest View, Mallow",8,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
191,SHIP CONSTRUCTION,Cork County,"11/10 Harbour Hill, Cobh",1,*N/A,,,,,,Q2-2018
192,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline phase 1A,10,*N/A,,,,,Q1-2018,
193,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (Phase 1/C),16,*N/A,,,,,Q1-2018,
194,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (Phase 1/D),18,*N/A,,,,,Q1-2018,
195,SHIP CONSTRUCTION,Cork County,Kearney's field Dunmanway,18,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
196,SHIP CONSTRUCTION,Cork County,"Madonna House, Ballincollig",20,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
197,SHIP CONSTRUCTION,Cork County,"Richmond Court, Bandon",4,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
198,SHIP CONSTRUCTION,Cork County,"Brigown Road, Mitchelstown",8,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
199,SHIP CONSTRUCTION,Cork County,"Sleaveen Sleaveen East, Macroom",8,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
200,SHIP CONSTRUCTION,Cork County,"Kilnagleary, Carrigaline Phase 1B",5,*N/A,,,,,Q1-2018,
