No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 2),4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Cavan,"Woodlands, Ballyhaise",8,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Cavan,Butlersbridge (Phase 1),2,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Cavan,"Clones Road, Butlersbridge",2,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cavan,"Corstruce, Ballinagh",4,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cavan,"Main Street, Mullagh",19,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cavan,"Holborn Hill, Belturbet",6,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cavan,Elm Grove,13,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CALF Turnkey,Cavan,"Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,Cluid Housing ,,,,,,Q4-2016
,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 1)",4,Túath Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 2)",5,Túath Housing Association Ltd,,,,,Q1-2017,
,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 3)",2,Túath Housing Association Ltd,,,,,Q1-2017,
,SHIP CONSTRUCTION TURNKEY,Clare,"River View, School Road, Corofin",2,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Clare,"Roslevan, Ennis",8,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Clare,Feakle,13,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Clare,"Glor Srutha, Knockbrack Lower, Clonlara",9,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Clare,"Seaview Park, Quilty",18,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Clare,"Tullyglass, Shannon",21,*N/A,,"Stage 2 approved in Q2-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Clare,"Ashline, Kilrush Road, Ennis",40,*N/A,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Clare,"Cahercalla, Ennis (Phase 2)",14,Cuan an Chlair Ltd,"Stage 1 approved in Q4-2016, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Clare,"Laurel Lodge, Clare Road, Ennis",3,Society of Saint Vincent de Paul,,,,,,Q4-2016
,CAS CONSTRUCTION,Clare,"Haggard View, Clarecastle (Phase 2)",2,Anvers Housing Association Ltd,,,,,,Q2-2018
,CAS CONSTRUCTION,Clare,"Haggard View, Clarecastle (Phase 1)",2,Anvers Housing Association Ltd,,,,,,Q1-2018
,CAS CONSTRUCTION,Clare,Monaskeha Heights,2,Newgrove Housing Association Ltd,"Stage 1 approved in Q4-2017, outline design and costs being prepared.",,,,,
,CALF Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,Cluid Housing ,,,,,,Q2-2018
,CALF Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",19,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,Clare,"Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",5,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Turnkey,Clare,"Lios Anama, Sixmilebridge, Clare (Phase 1)",28,Co-operative Housing Ireland,,,,,,Q4-2017
,CALF Construction,Clare,"Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q1-2017,,
,CALF Turnkey,Clare,"Tullyvarraga, Shannon, Co. Clare (Phase 1)*",47,Co-operative Housing Ireland,,,,,Q1-2018,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Clare,Shannon East,50,*N/A,,,Q1-2018,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork,"The Miles, Clonakilty",54,*N/A,,,Q1-2018,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork,"Poundhill, Skibbereen",50,*N/A,,,Q1-2018,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Cork,"Oakwood, Macroom",50,*N/A,,,Q1-2018,,,
,SHIP CONSTRUCTION TURNKEY,Cork City,Arus Mhuire,30,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Cork City,1-4 Marble Lane,4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork City,Barack Street,32,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,FaranFerris,5,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,High Street,9,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,Tramore Road,4,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,Whites Street,43,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,Woods Street,16,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Cork City,Church Road,43,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Cork City,"Sheridan Park, Tramore Road",28,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION TURNKEY,Cork City,"1-5 Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION TURNKEY,Cork City,Corcorans Quay,3,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,Blarney Street,25,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,"37-39 Dublin Street, Blackpool, Cork",5,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION TURNKEY,Cork City,"6-10 Ard Aoibhinn, Banduff, Mayfield",5,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,"2 Deanrock Cottages, Togher",4,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Cork City,"258 & 259 Blarney Street, Cork",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Cork City,"1 & 2 The Groves, Skehard Road, Cork",2,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Cork City,"The Meadows, Knocknacullen",1,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Cork City,Boyces Street,51,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork City,Shandon Street/John Philpott Curran Street,9,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork City,St. Johns Well,6,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Cork City,Churchfield Place East,3,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Cork City,"Deanrock, Togher",65,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,Cork City,Gerald Griffin Street,41,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Cork City,Cappanoole,2,*N/A,,,,,,Q4-2016
,REGENERATION,Cork City,Phase 1 B Knocknaheeny,29,*N/A,,,,,,Q4-2017
,REGENERATION,Cork City,Phase 2 A Knocknaheeny,47,*N/A,,,,,Q2-2018,
,REGENERATION,Cork City,Phase 1 C Knocknaheeny,41,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,REGENERATION,Cork City,Phase 2 B Knocknaheeny,38,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,REGENERATION,Cork City,Phase 2C Knocknaheeny,24,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Cork City,"Edel House, Grattan Street",33,Good Shepherd Services Ltd,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Cork City,"Saint Vincent's Convent, Vincent's Ave/St. Mary's Street",25,Respond,"Stage 1 approved in Q2-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Cork City,Thomas Davis Street (Phase 1),28,Respond,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Cork City,"Ceanncora Lawn, Ballinlough",1,Cork Mental Health Voluntary Housing Association Ltd,,,,,Q2-2017,
,CAS CONSTRUCTION,Cork City,"St. Joachim & Anne's, Anglesea Street",8,Simon Community : Cork Simon,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Cork City,"27-29 Dublin Street, Blackpool",10,Respond,,,,,Q4-2016,
,CALF Construction,Cork City,"124 Lr. Glanmire Road & 2 Braemer, Cork (Phase 1)",3,Galtan Ltd,,,,,,Q1-2018
,CALF Construction,Cork City,"124 Lr. Glanmire Road & 2 Braemer, Cork (Phase 2)",3,Galtan Ltd,,,,,Q1-2017,
,CALF Construction,Cork City,"Mile Stream, Shanakiel, Cork City  (Phase 1)",50,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Turnkey,Cork City,"Popes Road, Blackpool, Cork City (Phase 1)",7,Cluid Housing ,,,,Scheme approved for CALF funding Q4-2016,,
,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 1)",6,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 2)",9,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 3)",9,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 4)",9,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 5)",9,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Cork City,"Revised-The Meadows, Knockacullen East, Gurranabraher, Cork  (Phase 6)",10,Túath Housing Association Ltd,,,,,Q1-2018,
,CALF Turnkey,Cork City,"11 North Abbey Street, Cork City  (Phase 1)",6,Respond,,,,Scheme approved for CALF funding Q1-2018,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Church Road/Station Road, Carrigtwohill",18,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION TURNKEY,Cork County,"Church Road/Station Road, Carrigtwohill",7,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Inis Alainn & Castleoaks, Bandon",11,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Gleann Tuairigh, Youghal",3,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Millview Road, Kanturk",25,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Clondulane, Fermoy",2,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"College Wood, Cobh",31,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 3)",12,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Crann Ard, Fermoy",52,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Cork County,CulAird Carraigtwohill,29,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 1)",12,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Castletreasure, Douglas (Phase 2)",16,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Cork County,"Claragh Road, Millstreet",6,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"St. Mary?s Road, Dunmanway",20,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Downeen Cross, Rosscarbery",7,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Glanworth, Fermoy",14,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Quartertown, Mallow",6,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Beacon Point, Baltimore",6,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Corrin View, Fermoy",6,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Chapel Court, Skibereen",4,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Cul Na Smear, Bandon",14,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Glen Dara,Ard Cashel, watergrasshill",6,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Claredon Brooks, Carrs Hill, Douglas Phase 1",12,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Sweetfields, Youghal",35,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,Lismire Co. Cork,4,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Rylane, Mont Rivers, Co. Cork.",3,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Claredon Brooks, Carrs Hill, Douglas Phase 2",33,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Cork County,"Seafield, Bantry, ",3,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Cork County,"Abbeywood, Midleton",70,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Cork County,"Station Road, Blarney",18,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Cork County,"Bluepool, Kanturk",12,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"Ard Na Greine, Cortmacsherry",15,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"Tower View/C£irt na Sil¡n¡, Cloyne, East Cork",9,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Cork County,"Beechgrove, Clonakilty",57,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"Castletreasure Grove, Douglas",1,*N/A,"Stage 1 approved in Q3-2016, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Poulavone, Ballincollig",57,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Newtown, Bantry",1,*N/A,"Stage 1 approved in Q2-2016, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Fairfield, Masseytown, Macroom",7,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Cork County,"12 & 14 Droum, Castletownbere",2,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Cork County,"Kilnagleary, Carrigaline (Phase 4)",15,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Oliver Plunkett Hill, Fermoy",10,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Cork County,"Townsend Street, Skibbereen",6,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"Forest View, Mallow",8,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"11/10 Harbour Hill, Cobh",1,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (phase 1A & 1B),15,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (Phase 2/C),16,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Cork County,Kilnagleary Carrigaline (Phase 3/D),18,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Cork County,Kearney's field Dunmanway,18,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Cork County,"Madonna House, Ballincollig",20,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Cork County,"Richmond Court, Bandon",4,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Cork County,"Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,Cluid Housing Association,"Stage 1 approved in Q3-2016, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Cork County,"Cuan Barra, Kilmore, Ballingeary",3,Coiste Tithe Uibh Laoire Teoranta,,,,,Q1-2018,
,CAS CONSTRUCTION,Cork County,"Townlands, Rosscarbery",9,Rosscarbery Housing Association Ltd,,,,,Q1-2018,
,CAS CONSTRUCTION,Cork County,"Avenue House, Bandon",9,Bandon Geriatric ? Community Council,,,,,,Q1-2018
,CAS CONSTRUCTION,Cork County,"Church View, Love Lane, Charleville",4,Charleville Care Project Ltd,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Cork County,"Fellowship House, Togher",31,Tabor Lodge Addiction ? Housing Services Ltd,,,,,,Q2-2018
,CALF Turnkey,Cork County,"Beach Road, Passage West, Co. Cork (Phase 1)",3,Cluid Housing ,,,,,,Q4-2017
,CALF Turnkey,Cork County,"College Manor, Cobh (Phase 1)",10,Túath Housing Association Ltd,,,,,,Q4-2016
,CALF Construction,Cork County,"Duntahane, Fermoy, Co. Cork (Phase 1)",46,Respond,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Construction,Cork County,Firgrove Harrisons lane (Phase 1),6,Co-operative Housing Ireland,,,,,,Q4-2017
,CALF Turnkey,Cork County,"Lackaduff, Codrum, Macroom, Co Cork  (Phase 1)",5,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Cork County,"Lackaduff, Codrum, Macroom, Co. Cork - Phase 2 (Phase 1)",2,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q1-2018,,
,CALF Turnkey,Cork County,"Mullavale, Castletownroche, Co. Cork (Phase 1)",6,Respond,,,,,Q2-2018,
,CALF Turnkey,Cork County,"Tanners Field, Bandon, Co Cork  (Phase 1)*",6,Túath Housing Association Ltd,,,,,Q4-2016,
,CALF Turnkey,Cork County,"Tanners Field, Bandon, Co Cork  (Phase 2)*",5,Túath Housing Association Ltd,,,,,Q4-2016,
,CALF Turnkey,Cork County,"Ticknock, Cobh, Cork (Phase 1)",8,Respond,,,,,Q1-2017,
,CALF Turnkey,Cork County,"Weston, Carrigaline, Co. Cork (Phase 1)*",7,Respond,,,,,,Q2-2018
,CALF Construction,Cork County,"Post Tender - Radharc An tSaile, Cappagh, Ballynacubby, Kinsale, Co Cork (Phase 1)",40,Cluid Housing ,,,,Scheme approved for CALF funding Q3-2017,,
,SHIP CONSTRUCTION TURNKEY,DLR,"Hazelbrook, Nutgrove, Churchtown",28,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,DLR,"Dunedin Terrace., Monkstown, Co. Dublin",14,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,DLR,Glenamuck/Stillorgan (Rockville Drive),14,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,DLR,George's Place,12,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,DLR,"66 George's Street, Dun Laoghaire",4,*N/A,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,DLR,"132 Pottery Road, Dun Laoghaire",4,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,DLR,"33,35, & 37 Temple Road",3,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,DLR,Assistant Harbour Master House,2,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,DLR,The Brambles Park Close Sallynoggin,10,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,DLR,49 The Mews Sallynoggin Park,4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,DLR,Shanganagh Park Lodge,1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,DLR,Rosemount Court,44,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,DLR,Broadford Rise,21,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,DLR,Fitzgerald Park,50,*N/A,,,,,Q4-2016,
,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 3),14,*N/A,,,,,Q3-2016,
,SHIP CONSTRUCTION,DLR,St Michael's Terrace,4,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,DLR,Clontibret House,4,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,DLR,Cromlech Close,15,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,DLR,Rochestown House (Phase 2),34,*N/A,,,,,,Q1-2016
,SHIP CONSTRUCTION,DLR,"41 Ballyogan Ave., Ballyogan, Co. Dublin",2,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,DLR,"St. Laurence?s Park, Stillorgan, Co. Dublin",77,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,DLR,"30 Obelisk Walk, Blackrock",4,St. John of God Housing Association Ltd,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CALF Turnkey,DLR,"Ardilea Crescent, Clonskeagh, Dublin 14 (Phase 1)*",8,Túath Housing Association Ltd,,,,,Q3-2017,
,CALF Turnkey,DLR,"Bishops Gate, Kilternan, Dublin 18  (Phase 1)",6,Cluid Housing ,,,,Scheme approved for CALF funding Q3-2017,,
,CALF Turnkey,DLR,"Block C, Abbey road, Monkstown, (Phase 1)*",3,Fold Housing Association Ireland Ltd,,,,Scheme approved for CALF funding Q2-2018,,
